occurrenceID,basisOfRecord,catalogNumber,rightsHolder,recordedBy,individualCount,year,month,day,country,countryCode,stateProvince,decimalLatitude,decimalLongitude,county,locality,verbatimElevation,geodeticDatum,coordinateUncertaintyInMeters,identifiedBy,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,kingdom_api,phylum_api,class_api,order_api,family_api,taxonRank,scientificNameAuthorship,vernacularName,API_name
c4d9fc58-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:100217,University of Guatemala,Betancur J,1,1991,5,11,Guatemala,GT,Petén,17.2388802,-90.6602972,La Libertad,Ciénagas de Jotaudo - Munguido,250,WGS84,3300,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Vriesea,drewii,Vriesea drewii,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,L.B. Sm.,,"{""usageKey"":5288980,""scientificName"":""Vriesea drewii L.B.Sm."",""canonicalName"":""Vriesea drewii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Vriesea"",""species"":""Vriesea drewii"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2699764,""speciesKey"":5288980,""synonym"":false,""class"":""Liliopsida""}"
c4da005e-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:100218,University of Guatemala,Betancur J,1,1991,5,11,Guatemala,GT,Petén,17.2889541,-90.6705137,La Libertad,Club El Rodeo,250,WGS84,3300,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Vriesea,drewii,Vriesea drewii,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,L.B. Sm.,,"{""usageKey"":5288980,""scientificName"":""Vriesea drewii L.B.Sm."",""canonicalName"":""Vriesea drewii"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Vriesea"",""species"":""Vriesea drewii"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2699764,""speciesKey"":5288980,""synonym"":false,""class"":""Liliopsida""}"
c4da016c-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:101378,University of Guatemala,Fonnegra R,1,1994,5,31,Guatemala,GT,Petén,17.3098632,-89.7846692,San Jose,Inspección El Capricho,514,WGS84,1731,Díaz O.,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,Olyra,latifolia,Olyra latifolia,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Species,L.,,"{""usageKey"":5290105,""scientificName"":""Olyra latifolia L."",""canonicalName"":""Olyra latifolia"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; nextMatch=5"",""matchType"":""EXACT"",""alternatives"":[{""usageKey"":5678992,""acceptedUsageKey"":5677265,""scientificName"":""Olyra lancifolia Mez"",""canonicalName"":""Olyra lancifolia"",""rank"":""SPECIES"",""status"":""SYNONYM"",""confidence"":9,""note"":""Similarity: name=5; authorship=0; classification=-2; rank=6; status=0; score=9"",""matchType"":""FUZZY"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Poaceae"",""genus"":""Agnesia"",""species"":""Agnesia lancifolia"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3073,""genusKey"":9779519,""speciesKey"":5677265,""synonym"":true,""class"":""Liliopsida""},{""usageKey"":5290106,""acceptedUsageKey"":5290105,""scientificName"":""Olyra lartifolia L."",""canonicalName"":""Olyra lartifolia"",""rank"":""SPECIES"",""status"":""SYNONYM"",""confidence"":9,""note"":""Similarity: name=5; authorship=0; classification=-2; rank=6; status=0; score=9"",""matchType"":""FUZZY"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Poaceae"",""genus"":""Olyra"",""species"":""Olyra latifolia"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3073,""genusKey"":2705466,""speciesKey"":5290105,""synonym"":true,""class"":""Liliopsida""},{""usageKey"":2703456,""scientificName"":""Oryza latifolia Desv."",""canonicalName"":""Oryza latifolia"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":0,""note"":""Similarity: name=-10; authorship=0; classification=-2; rank=6; status=1; score=-5"",""matchType"":""FUZZY"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Poaceae"",""genus"":""Oryza"",""species"":""Oryza latifolia"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3073,""genusKey"":2703455,""speciesKey"":2703456,""synonym"":false,""class"":""Liliopsida""},{""usageKey"":7351770,""acceptedUsageKey"":7164892,""scientificName"":""Olea latifolia (Aiton) Steud."",""canonicalName"":""Olea latifolia"",""rank"":""SPECIES"",""status"":""SYNONYM"",""confidence"":0,""note"":""Similarity: name=-10; authorship=0; classification=-2; rank=6; status=0; score=-6"",""matchType"":""FUZZY"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Lamiales"",""family"":""Oleaceae"",""genus"":""Olea"",""species"":""Olea europaea"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":220,""orderKey"":408,""familyKey"":6652,""genusKey"":3172244,""speciesKey"":5415040,""synonym"":true,""class"":""Magnoliopsida""},{""usageKey"":5549917,""acceptedUsageKey"":7325923,""scientificName"":""Olea latifolia (L.) Salisb."",""canonicalName"":""Olea latifolia"",""rank"":""SPECIES"",""status"":""SYNONYM"",""confidence"":0,""note"":""Similarity: name=-10; authorship=0; classification=-2; rank=6; status=0; score=-6"",""matchType"":""FUZZY"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Lamiales"",""family"":""Oleaceae"",""genus"":""Phillyrea"",""species"":""Phillyrea latifolia"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":220,""orderKey"":408,""familyKey"":6652,""genusKey"":7325888,""speciesKey"":7325923,""synonym"":true,""class"":""Magnoliopsida""}],""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Poaceae"",""genus"":""Olyra"",""species"":""Olyra latifolia"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3073,""genusKey"":2705466,""speciesKey"":5290105,""synonym"":false,""class"":""Liliopsida""}"
c4da0248-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:101717,University of Guatemala,Betancur J,1,1993,11,9,Guatemala,GT,Petén,17.6569118,-89.6001739,Flores,Páramo de El Tábano. cerca de Pasto,270,WGS84,1952,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Guzmania,coriostachya,Guzmania coriostachya,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,(Griseb.) Mez,,"{""usageKey"":2699067,""scientificName"":""Guzmania coriostachya (Griseb.) Mez"",""canonicalName"":""Guzmania coriostachya"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Guzmania"",""species"":""Guzmania coriostachya"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2698853,""speciesKey"":2699067,""synonym"":false,""class"":""Liliopsida""}"
c4da0324-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:101737,University of Guatemala,Betancur J,1,1993,11,7,Guatemala,GT,Petén,17.5327108,-89.8173641,San Jose,Sitio Tinajas. afluente del río Tapartó,360,WGS84,842,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Greigia,stenolepis,Greigia stenolepis,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,L.B. Sm.,,"{""usageKey"":2693949,""scientificName"":""Greigia stenolepis L.B.Sm."",""canonicalName"":""Greigia stenolepis"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Greigia"",""species"":""Greigia stenolepis"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2693919,""speciesKey"":2693949,""synonym"":false,""class"":""Liliopsida""}"
c4da03f6-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:102143,University of Guatemala,Betancur J,1,1994,4,20,Guatemala,GT,Petén,17.1793889,-90.8080889,La Libertad,Barrio Oneti margen izquierda del río Jella,150,WGS84,9593,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Guzmania,fosteriana,Guzmania fosteriana,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,L.B. Sm.,,"{""usageKey"":2699125,""scientificName"":""Guzmania fosteriana L.B.Sm."",""canonicalName"":""Guzmania fosteriana"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Guzmania"",""species"":""Guzmania fosteriana"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2698853,""speciesKey"":2699125,""synonym"":false,""class"":""Liliopsida""}"
c4da04dc-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:102144,University of Guatemala,Betancur J,1,1994,4,20,Guatemala,GT,Petén,17.1821024,-90.7431008,La Libertad,Barrio Policarpa,150,WGS84,9593,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Guzmania,fosteriana,Guzmania fosteriana,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,L.B. Sm.,,"{""usageKey"":2699125,""scientificName"":""Guzmania fosteriana L.B.Sm."",""canonicalName"":""Guzmania fosteriana"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Guzmania"",""species"":""Guzmania fosteriana"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2698853,""speciesKey"":2699125,""synonym"":false,""class"":""Liliopsida""}"
c4da05a4-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:102233,University of Guatemala,Vargas I,1,1995,12,5,Guatemala,GT,Petén,16.9119576,-89.8389614,Flores,Cerca de Yuto,514,WGS84,291,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Catopsis,sessiliflora,Catopsis sessiliflora,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,(Ruiz & Pav.) Mez,,"{""usageKey"":8411322,""scientificName"":""Catopsis sessiliflora (Ruiz & Pav.) Mez"",""canonicalName"":""Catopsis sessiliflora"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Catopsis"",""species"":""Catopsis sessiliflora"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2698780,""speciesKey"":8411322,""synonym"":false,""class"":""Liliopsida""}"
c4da0694-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:103108,University of Guatemala,Cardona F,1,1996,4,3,Guatemala,GT,Petén,17.5260944,-90.8413581,San Andres,Río Claro. lado del camino hacia El Refugio,500,WGS84,3207,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Guzmania,lingulata,Guzmania lingulata,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,(L.) Mez,,"{""usageKey"":2699095,""scientificName"":""Guzmania lingulata (L.) Mez"",""canonicalName"":""Guzmania lingulata"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Guzmania"",""species"":""Guzmania lingulata"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2698853,""speciesKey"":2699095,""synonym"":false,""class"":""Liliopsida""}"
c4da08f6-3da3-11ed-b878-0242ac120002,PreservedSpecimen,UWP:104139,University of Guatemala,Fonnegra R,1,1996,5,15,Guatemala,GT,Petén,17.7608007,-89.7571283,San Jose,Las Acacias,308,WGS84,757,Betancur J.,Plantae,Magnoliophyta,Equisetopsida,Poales,Bromeliaceae,Guzmania,coriostachya,Guzmania coriostachya,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Species,(Griseb.) Mez,,"{""usageKey"":2699067,""scientificName"":""Guzmania coriostachya (Griseb.) Mez"",""canonicalName"":""Guzmania coriostachya"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""note"":""Similarity: name=110; authorship=0; classification=-2; rank=6; status=1; score=115; singleMatch=5"",""matchType"":""EXACT"",""kingdom"":""Plantae"",""phylum"":""Tracheophyta"",""order"":""Poales"",""family"":""Bromeliaceae"",""genus"":""Guzmania"",""species"":""Guzmania coriostachya"",""kingdomKey"":6,""phylumKey"":7707728,""classKey"":196,""orderKey"":1369,""familyKey"":3740,""genusKey"":2698853,""speciesKey"":2699067,""synonym"":false,""class"":""Liliopsida""}"
