auto_id,station_id,scientific_name,amount,gear,auto_id,id,locality,region,latitude,longitude,date,climate,PH,temperature,turbidity,conductivity,DO,TDS,property,habitats,biology,auto_id,order,order_c,suborder,suborder_c,family,family_c,family_id,scientific_name,science_FDB,chinese,common_name,author
4,L03,Acrossocheilus paradoxus,3,電捕,3,L03,遠望坑,台北縣,24.99333,121.92389,2009-01-22 10:00:00,晴,5.86,21.9,6.7,103,5.2,52,公有,遠望坑位於台北縣貢寮鄉，鄰近於著名的草嶺古道西側入口，屬於雙溪河流域水系，旁有屬於雙溪河支流的遠望坑溪流貫其中，該地闢有遠望坑公園，公園內有兩個相連的埤池，埤池的水源來自公園旁養殖圓田螺的私有水田農地，公園埤池的水源最後排入公園旁的遠望坑溪之中，因為公園旁養殖圓田螺的私有水田農地水源供應終年不斷，因此遠望坑公園內的埤池也因而得以常年有清澈的水補充，也形成私有水田與遠望坑埤池終年都能保持有緩慢流動水的狀態。而本研究調查即針對遠望坑私有水田與遠望坑埤池內的魚類相進行調查。該地區地理位置為北緯24°59’36”，東經121°55’26”。此次調查，該地區的水文資料在民國98年1月22日上午10點的測定值如下：pH值為5.86，水溫21.9℃，濁度6.7 NTU，導電度103 μs/cm，溶氧量5.2，總溶解固體物含量(TDS)為52 mg/l ，水色清澈透明。埤池及水田農地全屬土壤底質，埤池及水田呈現植被覆蓋或植被覆蓋的狀態，在水生植物植被方面，本次調查中記錄到屬於浮葉型水生植物的台灣萍蓬草(Nuphar shimadai)及屬於濕生型植物的矮紙莎草(Cyperus prolifer)與野薑花(Hedychium coronarium)，而於遠望坑公園中，這三種水生植物皆是人為沿著埤池邊緣栽植的。在此次調查並無發現漂浮型水生植物的分布。,本次在遠望坑埤池與相鄰水田中的魚類相調查，以魚籠誘捕法及電捕進行採集。共計採獲5科7種魚類，其中屬於原生魚種的有鯉科的台灣石魚賓 (Acrossocheilus paradoxus)、台灣縱紋鱲(台灣馬口魚(Candidia barbata))、粗首馬口鱲(粗首鱲(Opsariichthys pachycephalus))；青鱂科的青鱂魚；合鰓科的黃鱔(Monopterus albus)及鬥魚科的蓋斑鬥魚；另外屬於外來引入的魚種則記錄到慈鯛科的尼羅口孵魚(Oreochromis niloticus niloticus)。所採獲的魚種中，原生魚類共採獲53尾個體，佔所有採獲個體的86.9%；外來引入種則採獲8尾個體，佔所有採獲個體的13.1%。在原生魚種部分，採獲個體數最多的為青鱂魚的26尾，佔所有原生魚類採獲個體的49.1%，此種魚採獲數量最多，且所採獲的個體體長介於17-25mm的亞成魚至成魚皆有發現，顯示青鱂魚在該處中數量優勢且族群繁衍順利﹔其次為蓋斑鬥魚的15尾個體，佔所有原生魚類採獲個體的28.3%；採獲數量最少的為採獲2尾個體的粗首馬口鱲及鱔魚，各自只佔所有原生魚類採獲個體的3.8%。在外來引入種方面，採獲記錄到尼羅口孵魚一種8尾個體，然而值得注意的是，此次調查的尼羅口孵魚體長從32-126mm不等的個體皆有採獲，顯示尼羅口孵魚應該已經在該埤池成功繁衍，調查到的數量雖不多，但其可能會對埤池中珍貴的原生魚類如青鱂魚產生捕食等不利其生存之影響。然而在公園旁養殖圓田螺的私有水田水域中的魚類相較埤池單純，總共只有發現青鱂魚及鱔魚兩種魚類，可能與該處水域水較淺而不適合大多數魚類生存有關，因而在該處只發現青鱂魚這種小型魚及泥地穴居性的鱔魚。在本樣站，使用電魚器平均每小時採獲量為61尾，使用魚籠則每個籠具平均每小時採獲量為0尾。在原生魚種方面，電魚器平均每小時採獲量為53尾，顯示在這個樣站採集原生魚種以電魚器採集法較魚籠採集法的採集效率較佳。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
11,L05,Acrossocheilus paradoxus,1,電捕,5,L05,大湖,台北市,25.08333,121.58528,2009-02-15 10:00:00,晴,6.45,23.3,22.4,116,5.4,302,公有,大湖位於台北市內湖區，舊時湖上常有白鷺鷥、野鳥、水鳥等群集，白鷺鷥數量尤其眾多，群聚山頭，故又稱白鷺鷥湖，毗鄰白鷺鷥山，面對著五指山、忠勇山，可循環湖步道至湖旁的大湖公園。大湖原本湖泊面積大約二十公頃，後來部分湖面因修築成功路五段及公園內部份設施被土填實，使得湖面縮減許多，現今的大湖南北長約480公尺，東西寬約460公尺，蓄水面積9.2公頃。大湖平日為當地居民休閒遊憩的場所，也不乏有釣客在湖岸進行垂釣。地理位置為北緯25°05’00”，東經121°35’07”。在此次調查，大湖的水文資料於民國98年2月15日上午10點的測定值如下：pH值為6.45，水溫23.3℃，濁度22.4 NTU，導電度116μs/cm，溶氧量5.4，總溶解固體物含量(TDS)為302 mg/l ，水色呈半透明而略帶淺褐綠色，湖泊底質為土壤，大湖湖畔大部份地區皆水泥化，未水泥化的地區則為人工栽植的草皮植被覆蓋的狀態。在水生植物植被方面，本次調查中記錄到屬於漂浮型水生植物的外來引入種水生植物–大萍，此次調查在湖中並無發現沈水型水生植物的分布。,本次在大湖的魚類相調查以蛇籠誘捕法、魚籠誘捕法及電捕法進行採集。共計採獲4科7種魚類，其中屬於原生魚種的有鯉科的台灣石魚賓、羅漢魚、台灣石鮒及鰕虎科的極樂吻鰕虎；另外屬於外來引入的魚種則有棘甲鯰科的棘甲鯰(琵琶鼠(Pterygoplichthys sp.))，慈鯛科的巴西珠母麗鯛、吉利慈鯛(Tilapia zillii)。所採獲的魚種中，原生魚類共採獲46尾個體，佔所有採獲個體的68.7%；外來引入種則採獲21尾個體，佔所有採獲個體的31.3%，顯見在該湖泊已有外來引入種入侵，然而採集調查結果顯示在數量上原生魚種仍佔有較大比例。在原生魚種部分，採獲個體數較多的為極樂吻鰕虎及羅漢魚的28及15尾，各佔所有原生魚類採獲個體的60.9及32.6%；採獲數量最少的為台灣石魚賓，唯有1尾個體，只佔所有原生魚類採獲個體的2.2%，臺灣石魚賓雖為台灣地區的原生魚種，但此魚種生存於溪流的中上游流動水域之中，而顯然像大湖這種典型的湖沼水域環境並不適合該魚種的棲息，加之於本次調查中只有發現該魚種1尾個體，因此推測本次調查於大湖所採獲的台灣石魚賓  為人為所放生的個體，並非為湖中所原有的魚種。在外來引入種方面，採獲數量較為優勢的為棘甲鯰(琵琶鼠)與吉利慈鯛的各9尾個體，各佔所有外來魚類採獲個體的42.9%﹔而採獲3尾的巴西珠母麗鯛，為採獲最少的魚種，佔所有外來魚類採獲個體的14.3%。此湖泊的外來魚種中，其中數量最為優勢的吉利慈鯛體長從46-120mm不等的個體皆有採獲，而調查到的棘甲鯰(琵琶鼠)體長也都是介於122-170mm的成魚，顯示大湖的幾種外來魚種已經於該湖中成功繁衍並可能因此對於當地的原生魚類造成如捕食或競爭資源等不利於其生存的影響。在本樣站，使用電魚器平均每小時採獲量為42尾，使用魚籠平均每小時每個籠具採獲量為0.11尾，使用蛇籠平均每小時每個籠具採獲量為4尾，顯見在這個樣站以電魚器採集法效率最高。在原生魚種方面，使用電魚器平均每小時採獲量為40尾，高於魚籠的0.11尾及蛇籠的0.83尾，顯見在這個樣站採集原生魚種以電魚器採集法效果較佳。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
432,R48,Acrossocheilus paradoxus,6,電捕,127,R48,花蓮溪荖溪,V區,23.90747,121.50664,2010-02-15 11:00:00,晴,7.81,22,7.2,202,10.6,197,,花蓮溪荖溪樣站位於花蓮縣壽豐鄉，屬於花蓮溪的支流荖溪。本樣站地理位置為北緯23°54’  26.9”，東經121°30’  23.9”。於此次調查中，該樣站的水文資料於民國99年2月15日上午11點的測定值如下：pH值為7.81，水溫22 ℃，濁度7.2 NTU，導電度202 μs/cm，溶氧量10.6，總溶解固體物含量(TDS)為197 mg/l 。調查當日該地區的天候為晴天。該河段的河寬約7 m，水深約0.45 m。溪水清澈，該河段的溪流底質為礫石及卵石，在溪流兩岸的溪畔環境都保留有砂石及卵石的裸露裸露地，且河岸兩側有植被覆生。,本次在荖溪樣站的魚類相調查共計採獲2科5種魚類，且皆屬於台灣原生種，本次在荖溪樣站調查到的有鯉科的粗首馬口鱲、台灣石及鰕虎科的明潭吻鰕虎、大吻鰕虎、日本瓢鰭鰕虎。此次調查採集共採獲魚類46尾。採獲尾數最多的為明潭吻鰕虎及大吻鰕虎，分別採獲15及12尾，分別佔所有魚類採獲尾數的32.6 %及26.1 %，其個體體長分別介於3.5~5.2cm、5.0~7.5cm；採獲數量最少的為日本瓢鰭鰕虎，採獲3尾，佔所有魚類採獲尾數的6.5 %，其個體體長介於5.0~6.1cm。此次採集調查結果顯示，荖溪樣站的魚類相包括了初級性淡水魚及兩側洄游型淡水魚，前者以鯉科的粗首馬口鱲為代表性魚種，後者以鰕虎科的大吻鰕虎為代表性魚種。荖溪屬於台灣東部大型溪流花蓮溪的北面支流，而花蓮溪除了以兩側洄游型魚類為主要組成魚種外，另外也分佈一些初級性淡水魚。然而本次在荖溪樣站所調查到的鯉科魚種及少數的鰕虎科魚種卻非屬於花蓮溪的原生魚種，而是屬於台灣西部或北部地區引進的引入種，這其中包括鯉科的粗首馬口鱲、台灣石及鰕虎科的明潭吻鰕虎皆是屬於來自台灣西部或是北部的引入魚種。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
433,R20,Acrossocheilus paradoxus,6,電捕,99,R20,卯澳溪下游,I區,25.01381,121.97919,2010-09-09 12:00:00,晴,7.04,26.3,7.1,190,9.2,172,,本樣站位於卯澳溪下游的2號省道旁卯澳北橋下的河段，屬於下游河段的純淡水域，地理位置為北緯25°0’  49.7”，東經121°58’ 45.1”。於此次調查，卯澳溪下游樣站的水文資料於民國99年9月9日中午12點整的測定值如下：pH值為7.04，水溫26.30 ℃，濁度7.1 NTU，導電度190 μs/cm，溶氧量9.20，總溶解固體物含量(TDS)為172 mg/l ，調查當日該地區的天候為晴。另外該河段的河寬約3.5 m，水深約0.24 m。水色清澈見底，該河段溪流底質以整片母岩及卵石為主，溪流兩岸的溪畔環境大部分區域尚稱自然，而河岸於橋樑附近有些許水泥化。棲地型態以淺流、淺瀨及小型潭區為主，河岸伴生有木本及草本植物，於出海口附近有住家民宅。,本次在卯澳溪下游樣站的魚類相調查共計採獲5科9種魚類，所採獲的皆為原生魚種，包含有鯉科的台灣縱紋鱲、台灣石及鯽魚；溪鱧科的溪鱧；塘鱧科的棕塘鱧；鰕虎科的台灣吻鰕虎、日本瓢鰭鰕虎及兔首瓢鰭鰕虎；湯鯉科的湯鯉。此次調查採集共採獲魚類53尾。採獲尾數較多的為日本瓢鰭鰕虎及台灣縱紋鱲，分別採獲12及10尾，各佔所有魚類採獲尾數的22.6 %及18.9 %，其個體體長分別介於3.3~8.2cm、5.0~12.0cm；採獲數量最少的為溪鱧，僅採獲1尾，只佔所有魚類採獲尾數的1.9 %，其個體體長為10.5cm。此次採集調查結果顯示，卯澳溪下游樣站的魚類相包括了初級性淡水魚及兩側洄游型淡水魚，前者以鯉科的台灣縱紋鱲及鯽魚為代表，後者以溪鱧及日本瓢鰭鰕虎為代表。卯澳溪一年四季出海口皆不會乾涸而保持暢通，因此極為適合兩側洄游型魚類洄游上溯至該河域覓食或棲息。值得注意的是，當地居民說明該溪流日前曾經有放流過一些魚種，而於該樣站發現的鯉科魚類包括台灣縱紋鱲、台灣石及鯽魚，其中台灣縱紋鱲於東北角其他小溪的分布十分普及而常有發現紀錄，因此可能為當地原生魚種，而另外的台灣石及鯽魚則可能為人為引入魚種。而由於調查的樣站位於下游河段純淡水域，因此在該樣站能找到兩側洄游型魚種及初級性淡水魚，也因此該處河域所調查到的魚種種類較上游為多，而所調查到的9種魚種中即有6種屬於兩側洄游型魚類。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
434,R19,Acrossocheilus paradoxus,3,電捕,98,R19,卯澳溪上游,I區,25.013,121.98767,2010-09-09 10:00:00,晴,7.55,25.9,5.5,126,10.2,96,,卯澳溪位於台北縣貢寮鄉，位於台灣東北角，於卯澳出海，屬於一獨流入海的縣管河川。本樣站位於卯澳溪下游的2號省道旁卯澳北橋下往上溯約1.2公里的河段，屬於上游河段的純淡水域，地理位置為北緯25°0’  46.8”，東經121°59’  15.6”。於此次調查，卯澳溪下游樣站的水文資料於民國99年9月9日上午10點整的測定值如下：pH值為7.55，水溫25.90 ℃，濁度5.5 NTU，導電度126 μs/cm，溶氧量10.20，總溶解固體物含量(TDS)為96 mg/l ，調查當日該地區的天候為晴。另外該河段的河寬約2.5 m，水深約0.3 m。水色清澈見底，該河段溪流底質以大型礫石及卵石為主，溪流兩岸的溪畔環境尚稱自然而河岸完全無水泥化。棲地型態以淺流、淺瀨及小型潭區為主，河岸伴生有木本及草本植物。,本次在卯澳溪上游樣站的魚類相調查共計採獲2科4種魚類，所採獲的皆為原生魚種，包含有鯉科的台灣縱紋鱲、台灣石；鰕虎科的台灣吻鰕虎及日本瓢鰭鰕虎。此次調查採集共採獲魚類88尾。採獲尾數較多的為台灣縱紋鱲及日本瓢鰭鰕虎，分別採獲44及33尾，各佔所有魚類採獲尾數的50.0 %及37.5 %，其個體體長分別介於2.9~11.5cm、3.7~7.5cm；採獲數量最少的為台灣石，僅採獲3尾，只佔所有魚類採獲尾數的3.4 %，其個體體長介於5.7~6.0cm。此次採集調查結果顯示，卯澳溪上游樣站的魚類相包括了初級性淡水魚及兩側洄游型淡水魚，前者以鯉科的台灣縱紋鱲為代表，後者以鱸鰻及日本瓢鰭鰕虎為代表。卯澳溪一年四季出海口皆不會乾涸而保持暢通，因此極為適合兩側洄游型魚類洄游上溯至該河域覓食或棲息，而由於調查的樣站位於上游河段，因此在該樣站只能找到完全適應於溪流上游純淡水域的兩側洄游型魚種及初級性淡水魚，也因此該處河域所調查到的魚種種類不多，而所調查到的4種魚種中即有2種屬於兩側洄游型魚類。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
435,R15,Acrossocheilus paradoxus,14,電捕,94,R15,瑪鋉溪下游,I區,25.16798,121.67672,2010-05-19 12:00:00,晴,8.59,27.56,5,161,8.88,100,,"本樣站位於台北縣萬里鄉中福村北28號道旁，屬於下游河段的純淡水域，地理位置為北緯25°10+4.71""，東經121°40+36.21""。於此次調查，瑪鋉溪下游樣站的水文資料於民國99年5月19日上午12點整的測定值如下：pH值為8.59，水溫27.56 ℃，濁度5.0 NTU，導電度161 μs/cm，溶氧量8.88，總溶解固體物含量(TDS)為100 mg/l ，調查當日該地區的天候為晴。另外該河段的河寬約8 m，水深約0.5 m。水色清澈略帶黃可見底，該河段溪流底質以圓石為主，卵石及礫石為底交錯的環境，在溪流兩岸的溪畔環境，樣站左右側皆為大型水泥護岸，少部份保留砂石及土壤裸露，其右岸保持較為原始自然，有較多濱岸植物沿著此岸生長。棲地型態以淺流及淺瀨為主。",本次在瑪鋉溪下游樣站的魚類相調查共計採獲5科10種魚類，所採獲的皆為原生魚種，包含有鯉科的台灣石、台灣縱紋鱲、長鰭馬口鱲、粗首馬口鱲、、爬鰍科的台灣鰍、鰕虎科的台灣吻鰕虎與日本瓢鰭鰕虎、塘鱧科的黑塘鱧以及鰻鱺科的鱸鰻。此次調查採集共採獲魚類79尾。採獲尾數較多的為日本瓢鰭鰕虎及台灣石，分別採獲41及14尾，各佔所有魚類採獲尾數的51.9 %及17.7 %，其個體體長分別介於5.7~12.0cm、5.0~13.2cm；採獲數量最少的為台灣鰍與黑塘鱧，僅採獲1尾，只佔所有魚類採獲尾數的1.3 %，其個體體長分別為7.0cm、9.0cm。此外另有採獲到方蟹科的日本絨螯蟹1隻。此次採集調查結果顯示，瑪鋉溪下游樣站的魚類相包括了初級性淡水魚及兩側洄游型淡水魚，前者以游泳性鯉科的台灣石為代表，後者以底棲性鰕虎科的日本瓢鰭鰕虎、台灣吻鰕虎以及鱸鰻代表。瑪鋉溪下游在並未發現攔河堰等橫向構造物，適合兩側洄游型魚類洄游至該河域覓食或棲息，也適合洄游性蝦蟹類上溯，也因此該處河域所調查到的5種原生魚種中有2種即屬於兩側洄游型魚類。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
436,R27,Acrossocheilus paradoxus,1,電捕,106,R27,汶水河下游,II區,24.86717,121.13572,2010-05-25 10:30:00,晴,7.79,24,20,340,8.35,225,,"汶水河樣站位於新竹縣新埔鄉，位於霄裡溪北側，屬於霄裡溪支流之ㄧ，於新埔鄉照門里匯入霄裡溪。本樣站位於新竹縣新埔鄉清水里115號縣道旁的河段，屬於上游河段的純淡水域。地理位置為北緯24°52+1.81""，東經121°8+8.59""。於此次調查，汶水河上游樣站的水文資料於民國99年5月26日上午10點30分的測定值如下：pH值為7.79，水溫24.0 ℃，濁度20.0 NTU，導電度340 μs/cm，溶氧量8.35，總溶解固體物含量(TDS)為225 mg/l 。調查當日該地區的天候為晴天。該河段的河寬約4 m，水深約0.4 m。水色呈灰白半渾濁狀，該河段的溪流底質為圓石、卵石、礫石為底交錯環境，並無橫向構造物，在溪流兩岸的溪畔環境，兩旁河岸皆為水泥護岸河堤，且河岸除了有茂密的植物覆生外，同時也有人為栽植的農田，竹林等，於調查時疑似有農田廢水正排放進入該河川內。棲地型態以淺流為主。",本次在汶水河上游樣站的魚類相調查共計採獲2科4種魚類(見表3) 所採獲的皆為原生魚種，包含有鯉科的台灣縱紋鱲、粗首馬口鱲及台灣石、鰕虎科的明潭吻鰕虎。此次調查採集共採獲魚類124尾。採獲尾數較多的為明潭吻鰕虎共採獲106尾，佔所有採獲數量的85.5 % ，其個體體長介於3.4~5.0cm，採獲數量最少的為台灣石，僅採獲1尾，只佔所有原生魚種採獲數量的0.8 %，其個體體長為5.5cm。此次採集調查結果顯示，汶水河上游樣站的魚類相僅有初級性淡水魚，以鯉科的粗首馬口鱲為代表。汶水河上游樣站處於上游河段，因此可調查到如台灣縱紋鱲等上游典型魚種。在另一方面，由於該樣站距離出海口仍有相當遠的距離，加上此條溪流受到週遭環境排放污水以及沿途115縣道道路施工所造成的河道改道，因此可能影響到兩側洄游型淡水魚生存洄溯的可能性，造成兩側洄游型魚種在該樣站調查時並未發現採獲。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
437,R21,Acrossocheilus paradoxus,5,電捕,100,R21,淡水河東勢坑,II區,25.08344,121.74839,2010-03-04 10:00:00,陰,7.29,22.5,6.1,172,10.5,179,,東勢坑樣站位於基隆市暖暖區，屬於淡水河北面最大支流基隆河的支流暖暖溪。本樣站位於東勢二號橋旁的河段，屬於中上游河段。地理位置為北緯25°5’  0.4”，東經121°44’  54.2”。於此次調查，東勢坑樣站的水文資料於民國99年3月4日上午10點的測定值如下：pH值為7.29，水溫22.5 ℃，濁度6.1 NTU，導電度172 μs/cm，溶氧量10.5，總溶解固體物含量(TDS)為179 mg/l 。調查當日該地區的天候為陰天。該河段的河寬約10 m，水深約0.5 m。水色清澈透明，該河段的溪流底質為礫石與少許細砂交錯，在溪流兩岸的溪畔環境，河岸仍保留有砂石及土壤裸露，且河岸有極為茂密的草本植物覆生。,本次在東勢坑樣站的魚類相調查共計採獲3科5種魚類(見表3)，且皆屬於原生魚種，分別是鯉科的台灣白甲魚、台灣石、台灣縱紋鱲，爬鰍科的台灣鰍及鰕虎科的明潭吻鰕虎。此次調查採集共採獲魚類30尾。所採獲的魚種中，採獲尾數較多的為明潭吻鰕虎及台灣白甲魚，分別採獲12及8尾，各佔所有魚類採獲尾數的40 %及26.7 %，其個體體長分別介於3.8~5.5cm、7.0~10.5cm；採獲數量最少的為採獲2尾的台灣縱紋鱲，佔所有原生魚種採獲數量的6.7 %，其個體體長分別為6.0cm、6.5cm。此次採集調查結果顯示，東勢坑樣站的魚類相皆為初級性淡水魚，其中鯉科的台灣白甲魚及爬鰍科的台灣鰍都是代表性魚種。東勢坑樣站所處的暖暖溪河段屬於中上游水域，水流較為湍急，同時水溫也較低，因此較不適合台灣各地低海拔溪流常見的慈鯛科外來魚種，如尼羅口孵魚的生存，也因此該處河域所調查到的5種魚種皆屬於原生魚種，而所調查到的所有魚種也都是屬於分布於溪流中上游水域的典型魚種。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
438,R26,Acrossocheilus paradoxus,8,電捕,105,R26,後慈湖小溪,II區,24.84672,121.30575,2010-12-11 14:00:00,晴,8.2,25.2,10.2,297,8.31,395,,後慈湖小溪樣站位於桃園縣大溪鎮，屬於淡水河流域大漢溪水系的支流，該水系最後匯入後慈湖中。本樣站地理位置為北緯24°50’  48.2”，東經121°18’ 20.7”。於此次調查，後慈湖小溪的水文資料於民國99年12月11日下午2點的測定值如下：pH值為8.20，水溫25.20 ℃，濁度10.2 NTU，導電度297 μs/cm，溶氧量8.31，總溶解固體物含量(TDS)為395 mg/l 。調查當日該地區的天候為晴天。該河段的河寬約4 m，水深約0.55 m。水色清澈略帶綠色，該河段的溪流底質為卵石混合泥底，在溪流兩岸的溪畔環境，河岸仍保留有土壤裸露的自然樣貌，而岸邊有茂密的木本及草本植物覆生。,本次在後慈湖小溪的魚類相調查共計採獲3科5種魚類(見表3)，皆為原生魚種，分別有鯉科的粗首馬口鱲、台灣石、鯽魚；鰕虎科的極樂吻鰕虎；鰍科的泥鰍。此次調查採集共採獲魚類41尾。所採獲的魚種中，採獲尾數較多的為極樂吻鰕虎及鯽魚，分別採獲15及9尾，各佔所有魚類採獲尾數的36.6 %及22.0 %，其個體體長分別介於2.5~4.4cm、5.0~7.0cm；採獲數量最少的為採獲3尾的泥鰍，佔所有魚種採獲數量的7.3 %，其個體體長介於7.5~11.5cm。此次採集調查結果顯示，後慈湖小溪的魚類相僅由初級性淡水魚所組成，包括鯽魚及泥鰍等皆是屬於此類。後慈湖小溪所處的河段屬於淺山地區的小型支流，位置較為封閉，可能因此阻絕了外來魚種的入侵，因此本次在此樣站並沒有發現外來魚種的蹤跡。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
439,R05,Acrossocheilus paradoxus,10,電捕,84,R05,冬山河太和村,I區,24.62808,121.77308,2010-06-25 11:30:00,晴,8.23,28.3,15.2,336,7.39,355,,冬山河位於宜蘭縣，與蘭陽溪、宜蘭河等大型河川合而為蘭陽地區最大型的溪流水系。本樣站位於冬山河下游支流太和村社區內，屬於下游河段的純淡水域。地理位置為北緯24°37’ 41.1”，東經121°46’ 23.1”。於此次調查，冬山河太和村樣站的水文資料於民國99年6月25日上午11點30分的測定值如下：pH值為8.23，水溫28.30 ℃，濁度15.2 NTU，導電度336 μs/cm，溶氧量7.39，總溶解固體物含量(TDS)為355 mg/l 。調查當日該地區的天候為晴天。該河段的河寬約4.5 m，水深約0.75 m。水色清澈而略帶淺綠色，該河段的溪流底質為泥砂，混合著一些卵石，在溪流兩岸的溪畔環境，除了築有河堤外，在河堤內的河岸都能保留有砂石及土壤裸露，且有一些草本植物覆生。,本次在冬山河太和村樣站的魚類相調查共計採獲7科18種魚類，其中屬於原生種的有鰻鱺科的鱸鰻；鯉科的鯽魚、白鱎、羅漢魚、台灣石鮒、台灣白甲魚、粗首馬口鱲、台灣石；鰕虎科的盤鰭叉舌鰕虎(Glossogobius celebius)、明潭吻鰕虎、斑帶吻鰕虎、日本瓢鰭鰕虎、兔首瓢鰭鰕虎；鰍科的中華花鰍。而屬於外來種的有鱧科的線鱧；棘甲鯰科的棘甲鯰；慈鯛科的吉利慈鯛、尼羅口孵魚。此次調查採集共採獲魚類117尾。在原生魚種方面，採獲尾數較多的為日本瓢鰭鰕虎及尼羅口孵魚，分別採獲14及13尾，各佔所有魚類採獲尾數的12.0 %及11.1 %，其個體體長分別介於3.7~5.7cm、3.5~9.8cm；採獲數量最少的為鱸鰻，僅採獲1尾，佔所有原生魚種採獲數量的0.9 %，其個體體長為20.6cm。此次採集調查結果顯示，冬山河太和村樣站的魚類相包括了初級性淡水魚及兩側洄游型淡水魚，前者如鯉科的羅漢魚、台灣石鮒、台灣白甲魚等都是，後者以鰻鱺科的鱸鰻及日本瓢鰭鰕虎為代表性魚種。冬山河太和村處於蘭陽平原的下游河段，河道地勢平坦，且沒有任何人工壩體的阻隔，因此適合兩側洄游型魚類洄游至該河域覓食或棲息，同時冬山河所屬的蘭陽溪流域也擁有許多原生的初級性淡水魚類，因此該處河域所調查到的14種原生魚種中，有8種屬於典型初級淡水魚的鯉科及鰍科魚類，另外有5種屬於兩側洄游型魚類，這也顯示了這個樣站的魚類相以初級性淡水魚及兩側洄游型魚類並重的現象。在外來魚種方面，在該樣站所採獲的棘甲鯰、尼羅口孵魚及線鱧等皆屬於國內低海拔各溪流水域頗為常見且廣泛分佈的魚種。,1,Cypriniformes,鯉形目,,,Cyprinidae,鯉科,F102,Acrossocheilus paradoxus,Acrossocheilus paradoxus,台灣石,石斑、石、秋斑,"(Günther, 1868)"
